City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,51.82,79,79,10.0,NZ,1692749472
1,ondjiva,-17.0667,15.7333,64.11,18,2,6.85,AO,1692749472
2,iqaluit,63.7506,-68.5145,49.69,76,100,23.0,CA,1692749473
3,port mathurin,-19.6833,63.4167,73.53,76,3,22.03,MU,1692749473
4,ilebo,-4.3167,20.5833,73.62,69,16,1.41,CD,1692749473
5,san patricio,28.017,-97.5169,84.85,82,100,20.92,US,1692749473
6,iskateley,67.6803,53.1512,44.42,95,86,10.58,RU,1692749473
7,nar'yan-mar,67.6713,53.087,44.49,95,86,10.54,RU,1692749474
8,kandahar,31.0,65.75,71.92,22,3,5.93,AF,1692749474
9,port-aux-francais,-49.35,70.2167,34.52,70,97,13.67,TF,1692749474
10,nova sintra,14.8667,-24.7167,76.51,78,92,4.18,CV,1692749474
11,bredasdorp,-34.5322,20.0403,51.82,74,95,20.71,ZA,1692749475
12,bethel,41.3712,-73.414,71.76,72,20,3.44,US,1692749475
13,finike,36.295,30.1406,82.2,61,0,2.66,TR,1692749475
14,lihue,21.9789,-159.3672,87.39,68,40,16.11,US,1692749304
15,avarua,-21.2078,-159.775,78.85,61,75,9.22,CK,1692749365
16,east london,-33.0153,27.9116,66.09,36,25,9.64,ZA,1692749476
17,adamstown,-25.066,-130.1015,65.91,67,100,27.38,PN,1692749476
18,mirandopolis,-21.1336,-51.1017,80.67,34,2,9.13,BR,1692749476
19,sabha,27.0377,14.4283,86.49,29,5,11.97,LY,1692749476
20,gbarnga,6.9956,-9.4722,71.38,100,86,2.62,LR,1692749476
21,bilibino,68.0546,166.4372,44.46,58,96,2.42,RU,1692749477
22,oulmes,33.4258,-6.0014,80.6,24,26,3.6,MA,1692749477
23,farafangana,-22.8167,47.8333,68.97,90,9,8.12,MG,1692749477
24,georgetown,5.4112,100.3354,81.95,89,40,0.0,MY,1692749404
25,nova olimpia,-14.7972,-57.2881,85.1,31,5,4.81,BR,1692749297
26,teknaf,20.8624,92.3058,78.53,89,100,5.66,BD,1692749478
27,chonchi,-42.6128,-73.8092,39.11,95,96,3.6,CL,1692749478
28,badger,64.8,-147.5333,60.98,79,100,3.44,US,1692749478
29,la ronge,55.1001,-105.2842,68.25,64,100,5.75,CA,1692749478
30,amga,60.8953,131.9608,56.03,53,45,5.88,RU,1692749479
31,khovd,48.0056,91.6419,59.83,58,0,1.63,MN,1692749479
32,grytviken,-54.2811,-36.5092,29.5,97,99,12.59,GS,1692749479
33,blackmans bay,-43.0167,147.3167,53.73,68,62,9.01,AU,1692749479
34,port isabel,26.0734,-97.2086,87.84,77,0,13.8,US,1692749479
35,pimentel,-6.8367,-79.9342,73.69,73,100,13.8,PE,1692749480
36,invercargill,-46.4,168.35,52.02,80,100,1.99,NZ,1692749480
37,puerto natales,-51.7236,-72.4875,32.31,85,87,6.2,CL,1692749480
38,ushuaia,-54.8,-68.3,33.03,95,100,4.76,AR,1692749480
39,malabrigo,-29.3464,-59.9696,62.28,79,0,15.37,AR,1692749317
40,bechar,31.6167,-2.2167,87.85,17,32,4.47,DZ,1692749481
41,kodiak,57.79,-152.4072,56.71,88,75,8.05,US,1692749230
42,garoowe,8.4054,48.4845,75.97,72,17,23.71,SO,1692749481
43,egilsstadir,65.2653,-14.3948,46.31,93,100,5.75,IS,1692749482
44,port elizabeth,-33.918,25.5701,61.11,81,7,17.94,ZA,1692749277
45,guiuan,11.0333,125.7247,82.76,78,99,12.75,PH,1692749482
46,nova vicosa,-17.8919,-39.3719,74.91,89,7,12.75,BR,1692749482
47,kamaishi,39.2667,141.8833,84.43,80,16,13.15,JP,1692749482
48,albany,42.6001,-73.9662,70.21,70,24,6.33,US,1692749023
49,tsengel,49.4783,100.8894,51.4,76,51,2.57,MN,1692749483
50,margaret river,-33.95,115.0667,56.57,71,88,8.59,AU,1692749483
51,susuman,62.7833,148.1667,38.08,97,100,3.22,RU,1692749483
52,isoka,-10.1606,32.6335,61.29,58,0,1.39,ZM,1692749483
53,borgarnes,64.5383,-21.9206,51.85,89,74,7.9,IS,1692749483
54,longyearbyen,78.2186,15.6401,40.84,93,75,5.75,SJ,1692749484
55,leava,-14.3,-178.1667,80.15,77,13,23.51,WF,1692749484
56,kalmunai,7.4167,81.8167,78.37,87,66,10.49,LK,1692749364
57,ribeira grande,38.5167,-28.7,68.77,79,100,1.01,PT,1692749484
58,san antonio de pale,-1.4014,5.6325,74.19,90,66,14.34,GQ,1692749485
59,vadso,70.0744,29.7487,49.08,87,100,5.75,NO,1692749485
60,kapa'a,22.0752,-159.319,88.12,75,40,16.11,US,1692749285
61,weno,7.4515,151.8468,78.75,94,100,9.22,FM,1692749485
62,olonkinbyen,70.9221,-8.7187,42.17,94,94,2.42,SJ,1692749485
63,costa rica,-23.4167,-54.65,76.68,51,1,6.73,BR,1692749319
64,okha,53.5739,142.9478,63.32,89,100,4.74,RU,1692749486
65,talnakh,69.4865,88.3972,52.21,86,91,5.55,RU,1692749486
66,papatowai,-46.5619,169.4708,53.76,69,98,3.13,NZ,1692749486
67,miranda,3.2499,-76.2281,71.73,95,95,3.33,CO,1692749486
68,kuqa,41.7278,82.9364,78.84,24,100,6.42,CN,1692749486
69,sarangani,5.4033,125.4636,82.09,72,100,4.7,PH,1692749487
70,sawakin,19.1059,37.3321,95.09,46,64,5.99,SD,1692749487
71,pisco,-13.7,-76.2167,66.25,77,100,14.97,PE,1692749487
72,kingston,17.997,-76.7936,82.24,82,18,1.01,JM,1692749487
73,merizo village,13.2658,144.6691,86.58,85,72,5.7,GU,1692749487
74,kavieng,-2.5744,150.7967,83.25,75,65,12.24,PG,1692749488
75,flying fish cove,-10.4217,105.6791,74.88,83,100,13.8,CX,1692749488
76,bereznik,62.8551,42.7072,43.86,88,59,4.14,RU,1692749488
77,fort bragg,35.139,-79.006,89.74,59,40,3.44,US,1692749488
78,ilulissat,69.2167,-51.1,50.02,62,84,6.91,GL,1692749489
79,naze,28.3667,129.4833,79.81,80,19,4.9,JP,1692749489
80,masterton,-40.9597,175.6575,52.88,56,7,1.36,NZ,1692749489
81,stanley,54.868,-1.6985,57.52,91,0,5.75,GB,1692749489
82,nemuro,43.3236,145.575,69.58,97,99,12.75,JP,1692749490
83,ormara,25.2088,64.6357,79.81,85,97,16.26,PK,1692749490
84,sisimiut,66.9395,-53.6735,50.59,84,96,5.35,GL,1692749490
85,tongliao,43.6125,122.2653,71.47,44,2,3.18,CN,1692749491
86,hithadhoo,-0.6,73.0833,82.13,75,85,14.18,MV,1692749491
87,tazovsky,67.4667,78.7,47.3,96,100,5.84,RU,1692749491
88,fortuna,40.5982,-124.1573,69.93,71,20,12.66,US,1692749492
89,kitimat,54.0524,-128.6534,81.59,37,1,5.21,CA,1692749375
90,alpena,45.0617,-83.4327,67.1,78,100,6.91,US,1692749492
91,yuzhno-kurilsk,44.0306,145.8556,73.81,87,86,7.18,RU,1692749492
92,sumbe,-11.2061,13.8437,68.63,93,66,8.12,AO,1692749493
93,west island,-12.1568,96.8225,76.98,83,40,11.5,CC,1692749493
94,gero,-8.7039,121.1881,76.87,66,64,2.42,ID,1692749493
95,zhaodong,46.0833,125.9833,67.17,73,0,10.78,CN,1692749494
96,torbat-e heydariyeh,35.274,59.2195,68.2,39,0,7.02,IR,1692749494
97,labytnangi,66.6572,66.4183,49.64,82,100,6.62,RU,1692749494
98,palmer,42.1584,-72.3287,72.01,70,49,4.41,US,1692749494
99,alaghsas,17.0187,8.0168,95.16,21,88,8.3,NE,1692749494
100,bathsheba,13.2167,-59.5167,83.01,89,20,6.91,BB,1692749495
101,qaqortoq,60.7167,-46.0333,45.88,84,100,9.01,GL,1692749495
102,petropavlovsk-kamchatsky,53.0452,158.6483,62.78,100,75,6.71,RU,1692749419
103,ati,13.2154,18.3353,85.84,54,71,8.75,TD,1692749495
104,chipata,-13.6333,32.65,64.74,48,0,4.92,ZM,1692749495
105,toliara,-23.35,43.6667,67.48,68,0,4.94,MG,1692749495
106,sefrou,33.8319,-4.828,79.75,36,0,2.3,MA,1692749496
107,takanabe,32.1333,131.5,82.89,78,100,2.95,JP,1692749496
108,dakhla,23.6848,-15.958,69.85,88,12,15.01,EH,1692749496
109,new norfolk,-42.7826,147.0587,54.9,72,61,7.87,AU,1692749496
110,edinburgh of the seven seas,-37.0676,-12.3116,56.14,96,100,27.74,SH,1692749496
111,yellowknife,62.456,-114.3525,68.52,57,75,9.22,CA,1692749496
112,huarmey,-10.0681,-78.1522,68.5,85,53,8.03,PE,1692749497
113,cidreira,-30.1811,-50.2056,76.42,69,1,13.11,BR,1692749462
114,altay,47.8667,88.1167,66.04,41,100,4.12,CN,1692749497
115,saipan,15.1355,145.701,88.5,100,40,11.5,MP,1692749497
116,aasiaat,68.7098,-52.8699,41.5,78,60,8.68,GL,1692749497
117,brigantine,39.4101,-74.3646,73.99,69,0,4.61,US,1692749261
118,palikir - national government center,6.9248,158.1611,77.85,94,100,4.61,FM,1692749248
119,inari,68.906,27.0288,48.4,91,99,3.83,FI,1692749498
120,galliano,29.4422,-90.2992,91.0,70,0,0.0,US,1692749498
121,maardu,59.4767,25.025,62.6,96,75,5.75,EE,1692749498
122,tolanaro,-25.0319,46.9987,69.4,90,4,13.06,MG,1692749498
123,keelung,25.1283,121.7419,89.1,80,100,5.1,TW,1692749498
124,kerikeri,-35.2268,173.9474,54.23,61,90,3.87,NZ,1692749498
125,ratnagiri,16.9833,73.3,77.77,84,72,1.57,IN,1692749499
126,taro,-8.3862,115.28,70.86,83,66,3.36,ID,1692749499
127,tiksi,71.6872,128.8694,39.31,85,100,5.95,RU,1692749499
128,kailua-kona,19.6406,-155.9956,87.76,78,20,9.22,US,1692749499
129,mahina,-17.5065,-149.489,80.37,54,20,5.75,PF,1692749499
130,vorkuta,67.5,64.0,44.69,89,97,4.81,RU,1692749500
131,kununurra,-15.7667,128.7333,75.18,31,20,6.91,AU,1692749500
132,aykhal,66.0,111.5,43.56,69,2,3.69,RU,1692749500
133,severo-yeniseyskiy,60.3725,93.0408,53.85,86,100,4.32,RU,1692749500
134,vilyuchinsk,52.9306,158.4028,64.26,82,100,2.21,RU,1692749500
135,magadan,59.5667,150.8,61.54,64,10,2.95,RU,1692749500
136,sinabang,2.4803,96.3801,79.48,81,55,4.72,ID,1692749500
137,ust-nera,64.5667,143.2,43.27,98,100,5.1,RU,1692749501
138,salgueiro,-8.0742,-39.1192,81.46,45,10,16.33,BR,1692749386
139,sao joao da barra,-21.6403,-41.0511,72.61,89,0,11.92,BR,1692749431
140,urcos,-13.6861,-71.6228,62.49,71,85,6.35,PE,1692749501
141,agat village,13.3886,144.6585,86.95,85,59,5.01,GU,1692749502
142,imbituba,-28.24,-48.6703,74.86,78,6,10.16,BR,1692749502
143,mezhdurechenskiy,59.6,65.9333,44.28,89,88,4.63,RU,1692749502
144,wailua homesteads,22.0669,-159.378,86.79,76,40,16.11,US,1692749502
145,constantia,44.1833,28.65,77.7,64,0,6.13,RO,1692749502
146,darwin,-12.4611,130.8418,80.89,64,0,10.36,AU,1692749415
147,qamdo,31.1667,97.2333,39.99,88,43,1.95,CN,1692749502
148,korgan,40.8247,37.3467,62.65,79,0,4.21,TR,1692749503
149,vorgashor,67.5833,63.95,44.26,90,97,5.23,RU,1692749503
150,whitehorse,60.7161,-135.0538,78.03,37,17,3.0,CA,1692749377
151,punta arenas,-53.15,-70.9167,33.12,68,71,14.5,CL,1692749503
152,nerja,36.7585,-3.8873,83.71,67,0,5.01,ES,1692749503
153,tres arroyos,-38.3739,-60.2798,50.36,52,94,11.99,AR,1692749504
154,oberstaufen,47.55,10.0333,71.42,68,20,2.86,DE,1692749504
155,happy valley-goose bay,53.3168,-60.3315,55.71,67,20,2.3,CA,1692749504
156,namibe,-15.1961,12.1522,62.96,91,73,8.57,AO,1692749504
157,lebu,-37.6167,-73.65,48.2,81,32,5.7,CL,1692749504
158,nagqu,31.5,92.0,39.63,75,93,1.86,CN,1692749504
159,seydi,39.4816,62.9137,80.78,28,0,7.18,TM,1692749505
160,howard springs,-12.497,131.047,81.82,61,33,9.46,AU,1692749505
161,lata,40.1629,-8.3327,77.92,51,3,2.84,PT,1692749505
162,jumla,29.2747,82.1838,65.08,98,100,1.57,NP,1692749505
163,alofi,-19.0595,-169.9187,73.08,84,83,18.92,NU,1692749506
164,codrington,-38.2667,141.9667,54.93,77,90,12.73,AU,1692749506
165,harper,4.375,-7.7169,76.1,90,93,9.64,LR,1692749506
166,teykovo,56.858,40.5369,54.57,77,95,1.01,RU,1692749506
167,redcliff,-19.0333,29.7833,60.35,27,1,6.06,ZW,1692749506
168,praia da vitoria,38.7333,-27.0667,68.76,85,100,11.72,PT,1692749507
169,puerto ayora,-0.7393,-90.3518,76.55,88,82,5.99,EC,1692749507
170,taltal,-25.4,-70.4833,64.17,65,17,5.19,CL,1692749507
171,prince albert,53.2001,-105.7677,58.95,100,100,14.97,CA,1692749507
172,alice springs,-23.7,133.8833,60.35,39,0,11.5,AU,1692749507
173,ocean shores,46.9737,-124.1563,66.29,90,100,9.22,US,1692749171
174,sur,22.5667,59.5289,84.7,65,67,5.97,OM,1692749508
175,illizi,26.4833,8.4667,85.8,26,66,8.23,DZ,1692749508
176,ceeldheer,3.8488,47.1806,76.77,87,12,14.23,SO,1692749508
177,wynyard,-41.0,145.7167,55.45,69,49,9.1,AU,1692749508
178,igarka,67.4667,86.5833,51.31,93,99,7.2,RU,1692749508
179,koulamoutou,-1.1303,12.4736,73.13,91,19,2.01,GA,1692749509
180,carnarvon,-24.8667,113.6333,62.85,68,0,17.78,AU,1692749509
181,lamarque,-39.423,-65.7021,54.7,42,53,10.85,AR,1692749316
182,el calafate,-50.3408,-72.2768,33.35,85,96,4.92,AR,1692749509
183,waingapu,-9.6567,120.2641,78.66,70,27,14.58,ID,1692749509
184,kayangel,8.0823,134.7173,82.53,79,4,10.98,PW,1692749509
185,homer,59.6425,-151.5483,65.77,77,75,8.05,US,1692749510
186,tromso,69.6496,18.957,51.82,93,75,1.14,NO,1692749510
187,villa carlos paz,-31.4241,-64.4978,55.38,41,0,3.0,AR,1692749510
188,arkhangel'sk,64.5401,40.5433,43.03,91,27,3.29,RU,1692749510
189,monaghan,54.25,-6.9667,56.39,95,78,4.9,IE,1692749510
190,patterson,37.4716,-121.1297,91.98,46,20,5.77,US,1692749511
191,inarajan village,13.2736,144.7484,86.99,85,76,5.1,GU,1692749511
192,la passe,45.5549,-0.8967,80.83,61,13,6.67,FR,1692749511
193,dunedin,-45.8742,170.5036,53.8,51,88,7.0,NZ,1692749511
194,jamestown,42.097,-79.2353,69.39,68,0,6.91,US,1692749183
195,vyaz'ma,55.2104,34.2951,54.0,96,78,6.31,RU,1692749511
196,kapuskasing,49.4169,-82.4331,68.09,72,100,4.61,CA,1692749512
197,college,64.8569,-147.8028,61.07,82,100,3.44,US,1692749512
198,baikonur,45.6167,63.3167,78.28,34,0,4.79,KZ,1692749512
199,howrah,22.5892,88.3103,84.2,94,75,3.44,IN,1692749512
200,braniewo,54.3797,19.8196,61.57,74,0,6.64,PL,1692749512
201,soio,-6.1349,12.3689,71.04,94,21,8.14,AO,1692749513
202,yemva,62.59,50.8594,43.39,94,97,5.73,RU,1692749513
203,isafjordur,66.0755,-23.124,50.04,80,93,4.38,IS,1692749513
204,meiganga,6.5167,14.3,65.28,97,94,1.81,CM,1692749513
205,sarh,9.1429,18.3923,74.1,92,90,1.54,TD,1692749513
206,cannonvale,-20.2833,148.7,70.99,71,16,15.14,AU,1692749513
207,puente alto,-33.6167,-70.5833,53.74,86,100,6.49,CL,1692749280
208,zapolyarnyy,69.4154,30.8136,47.48,86,99,2.51,RU,1692749514
209,acarau,-2.8856,-40.12,78.03,76,50,17.13,BR,1692749368
210,vieste,41.8825,16.175,78.89,71,0,10.58,IT,1692749514
211,porto novo,6.4965,2.6036,78.62,93,94,6.67,BJ,1692749514
212,arawa,-6.2132,155.5367,83.16,73,88,4.54,PG,1692749514
213,porto velho,-8.7619,-63.9039,83.35,30,9,1.63,BR,1692749277
214,st. john's,47.5649,-52.7093,62.98,96,100,3.0,CA,1692749254
215,luanda,-8.8368,13.2343,69.62,91,86,11.21,AO,1692749226
216,mariental,-24.6333,17.9667,54.16,36,0,8.03,NA,1692749515
217,shangzhi,45.2167,127.9667,67.95,81,100,6.71,CN,1692749515
218,tura,25.5198,90.2201,72.46,98,100,6.62,IN,1692749515
219,mianke mor,31.2,73.95,87.51,60,98,7.45,PK,1692749515
220,dzhalagash,45.0833,64.6667,78.26,30,1,8.25,KZ,1692749515
221,udachny,66.4167,112.4,43.45,75,3,3.33,RU,1692749516
222,naryn,41.4287,75.9911,52.21,68,29,4.68,KG,1692749516
223,papao,-17.75,-149.55,80.28,64,0,8.34,PF,1692749516
224,kiknur,57.3034,47.2011,43.41,91,70,6.42,RU,1692749516
225,lincoln city,44.9582,-124.0179,72.05,77,41,5.99,US,1692749516
226,berbera,10.4396,45.0143,90.14,55,43,13.31,SO,1692749517
227,port lincoln,-34.7333,135.8667,56.16,65,100,10.04,AU,1692749517
228,hawaiian paradise park,19.5933,-154.9731,83.03,75,40,10.36,US,1692749517
229,sarikei,2.1167,111.5167,77.88,87,100,2.01,MY,1692749517
230,strensall,54.04,-1.0351,61.21,91,5,5.5,GB,1692749517
231,zhangye,38.9342,100.4517,67.71,32,29,4.56,CN,1692749517
232,salinopolis,-0.6136,-47.3561,79.5,76,57,13.82,BR,1692749518
233,mejit,10.2753,170.8646,83.5,75,45,15.41,MH,1692749518
234,claveria,18.6074,121.0832,83.84,71,100,2.48,PH,1692749518
235,tandil,-37.3217,-59.1332,47.68,75,99,9.04,AR,1692749518
236,uturoa,-16.7333,-151.4333,76.35,61,2,8.68,PF,1692749518
237,kapit,2.0167,112.9333,75.29,96,100,0.18,MY,1692749518
238,remire-montjoly,4.9167,-52.2667,80.64,83,0,3.44,GF,1692749519
239,bol,13.4586,14.7147,82.24,73,6,7.25,TD,1692749519
240,twin falls,42.3505,-114.6445,80.94,30,20,13.8,US,1692749034
241,hilo,19.7297,-155.09,85.28,78,40,10.36,US,1692749519
242,kabwe,-14.4469,28.4464,64.08,30,0,4.94,ZM,1692749519
243,matoury,4.8483,-52.3317,80.56,83,0,3.44,GF,1692749519
244,katsuura,35.1333,140.3,82.87,84,43,11.86,JP,1692749362
245,hami,42.8,93.45,77.83,16,30,7.54,CN,1692749520
246,gadzhiyevo,69.2551,33.3362,46.56,88,100,1.48,RU,1692749520
247,arraial do cabo,-22.9661,-42.0278,70.97,90,0,18.84,BR,1692749424
248,hermanus,-34.4187,19.2345,52.81,72,83,22.79,ZA,1692749521
249,kaoma,-14.7833,24.8,60.89,21,0,5.64,ZM,1692749521
250,itoman,26.1247,127.6694,86.02,74,20,3.44,JP,1692749521
251,sarkand,45.41,79.9186,68.54,32,62,5.93,KZ,1692749521
252,qui nhon,13.7667,109.2333,85.23,67,85,9.46,VN,1692749522
253,hudson,40.7168,-74.0663,77.25,50,40,12.66,US,1692749522
254,khorixas,-20.3667,14.9667,57.11,40,15,2.57,NA,1692749522
255,portland,45.5234,-122.6762,78.57,43,75,5.99,US,1692749334
256,malango,-2.9627,119.9001,70.79,88,93,1.66,ID,1692749522
257,port blair,11.6667,92.75,77.04,94,100,3.44,IN,1692749523
258,la'ie,21.6477,-157.9253,89.56,67,24,8.99,US,1692749523
259,ola,59.5833,151.2833,62.15,61,40,4.97,RU,1692749523
260,bonanza,14.0289,-84.591,75.94,90,100,2.37,NI,1692749523
261,bandarban,22.1965,92.2262,74.95,96,100,2.01,BD,1692749524
262,kantunilkin,21.0917,-87.45,84.36,67,96,4.94,MX,1692749524
263,chiang mai,18.75,99.0,79.74,96,40,3.44,TH,1692749524
264,paita,-5.0892,-81.1144,70.52,83,89,12.64,PE,1692749524
265,mount pearl,47.5166,-52.7813,62.15,96,75,6.91,CA,1692749525
266,carroll,39.5501,-77.0164,74.95,59,87,1.01,US,1692749525
267,ephraim,39.3597,-111.5863,63.81,83,92,1.59,US,1692749525
268,vuktyl,63.8567,57.3094,44.94,99,100,5.08,RU,1692749525
269,revda,56.801,59.9303,47.75,73,100,1.52,RU,1692749525
270,manthani,18.65,79.6667,77.56,85,97,3.22,IN,1692749525
271,marquette,46.5333,-87.6335,59.04,95,98,3.0,US,1692749526
272,trujillo,-8.116,-79.03,69.76,83,100,4.61,PE,1692749526
273,mishkovo-pohorilove,46.9995,32.118,69.76,41,0,2.55,UA,1692749526
274,berdigestyakh,62.0989,126.6992,45.01,71,51,6.08,RU,1692749526
275,santa elena de uairen,4.6167,-61.1333,69.94,76,48,3.62,VE,1692749527
276,dul'durga,50.6761,113.5931,55.56,81,100,4.54,RU,1692749527
277,puerto baquerizo moreno,-0.9,-89.6,75.13,81,78,16.6,EC,1692749527
278,malmberget,67.1753,20.6549,48.76,93,100,6.91,SE,1692749527
279,dikhil,11.5,42.1667,87.48,38,62,1.32,DJ,1692749527
280,jiuquan,39.7432,98.5174,67.3,32,11,3.87,CN,1692749365
281,hadibu,12.65,54.0333,79.77,81,34,15.9,YE,1692749529
282,coahuayana de hidalgo,18.7,-103.6583,85.84,73,32,4.59,MX,1692749529
283,port sudan,19.6175,37.2164,94.06,40,67,10.09,SD,1692749529
284,locri,38.2414,16.2623,79.32,67,11,8.12,IT,1692749529
285,tamanrasset,22.785,5.5228,82.31,28,40,10.36,DZ,1692749372
286,reforma,18.1,-91.0167,80.96,79,98,10.31,MX,1692749530
287,puerto vallarta,20.6204,-105.2307,88.92,67,100,1.99,MX,1692749343
288,gembu,6.7,11.2667,61.66,92,100,1.97,NG,1692749530
289,hakha,22.65,93.6167,60.17,97,100,2.26,MM,1692749530
290,tshikapa,-6.4167,20.8,81.05,36,67,0.83,CD,1692749530
291,kudat,6.8837,116.8477,80.71,76,96,3.76,MY,1692749531
292,marsa alam,25.0757,34.8918,90.3,46,16,1.39,EG,1692749531
293,maxixe,-23.8597,35.3472,69.49,86,0,11.81,MZ,1692749531
294,pikalevo,59.5183,34.1664,52.72,84,100,4.23,RU,1692749531
295,dudinka,69.4058,86.1778,52.63,88,100,7.7,RU,1692749532
296,cockburn town,21.4612,-71.1419,83.48,74,17,19.95,TC,1692749532
297,muynoq,43.7683,59.0214,80.85,25,23,5.82,UZ,1692749532
298,xilin hot,43.9667,116.0333,58.44,59,44,4.29,CN,1692749532
299,cabaritan east,18.4206,121.4897,80.2,83,100,7.74,PH,1692749533
300,anadyr,64.75,177.4833,50.5,87,75,15.66,RU,1692749533
301,hamilton,39.1834,-84.5333,84.78,60,0,9.22,US,1692749430
302,kharkhorin,47.1975,102.8238,49.08,86,98,1.03,MN,1692749533
